head,relation,tail
C1849485,occurs in,C3498992
C5679851,is differentiated from,C0947810
C5679851,is differentiated from,C0011265
C5679851,does not respond to,C0274637
C5679851,should seek,C0199168
C4304724,is characterized by,C0005758
C4304724,typically begins with,C0857254
C4304724,affects,C0013769
C4304724,is crucial for,C0920362
C0680830,focuses on,C0005758
C0680830,focuses on,C0150259
C1419050,includes,C0338656
C1419050,includes,C1301836
C0353697,can improve,C5707477
C0353697,can improve,C0277821
C1400290,is a subtype of,C5680184
C1400290,is caused by mutations in,C1167366
C1400290,affects,C0265385
C1400290,involves,C0005758
C1400290,can persist into,C0680085
C1840388,is a,C5681789
C1840388,is characterized by,C5558401
C1840388,is characterized by,C1337011
C1840388,is characterized by,C1295677
C1840388,arises from mutations in,C5780954
C1840388,disrupts,C1326961
C0030705,may present with,C0747199
C0030705,may present with,C0011777
C0680830,aims at,C0342218
C4763635,is,C4055355
C0175701,is characterized by,C0333009
C0175701,is characterized by,C0020615
C0175701,is characterized by,C3887638
C0175701,is defined by,C4049650
C0175701,is estimated to be prevalent in,C0028415
C0175701,is more prevalent in,C1278529
C0175701,may exhibit,C0231249
C0231249,is associated with,C1417062
C0020268,is used for,C0035139
C0175701,should carry,C0546166
C0175701,should carry,C0336611
C0851302,is crucial to prevent,C0023983
C0023983,include,C0497323
C0023983,include,C0152027
C0152027,include,C3825769
C0175701,may result in,C1285433
C2681839,is associated with,C3898813
C1838062,originates in,C2333422
C1838062,begins with,C0014547
C0014547,originates predominantly in,C1268978
C1838062,may be precipitated by,C0450004
C1838062,lacks,C0032930
C0439825,include,C0326127
C0439825,include,C3687537
C0439825,include,C0521164
C0439825,include,C0424068
C0439825,include,C0872005
C0439825,include,C0449468
C0750729,is usually,C0205183
C0030705,are often,C4759603
C0080103,is crucial to,C0150323
C0080103,benefits from,C2825943
C1838062,is,C2984909
C1838062,is characterized by,C0014547
C0014547,originate in,C2333422
C0036572,may be triggered by,C0450004
C0450004,include,C0302186
C0450004,include,C0566622
C4303909,is achieved in,C0680220
C0030705,present with,C1298634
C1298634,affects,C0204666
C4319832,is involved in,C1326281
C5447945,are within,C4319832
C4319832,is located on,C3250866
C1847532,has,C1518029
C4751114,characterized by,C1410968
C4751114,characterized by,C0001125
C4751114,can lead to,C0344315
C4751114,can lead to,C0231412
C1141890,is a,C5681552
C1141890,has a high risk of,C0085612
C1141890,can be grouped into,C1141890
C1141890,is often caused by,C0678939
C2732979,is caused by,C4722602
C1141890,is associated with,C0456888
C4551647,is a form of,C1141890
C1141890,involves the use of,C0039038
C1141890,involves the use of,C0810516
C1141890,can lead to,C1960156
C1141890,can lead to,C0750189
C1141890,can lead to,C1636652
C2697834,encodes,C1153454
C1426860,is a type of,C5848088
C0001645,are used as,C1710038
C5707142,is considered when,C0751534
C0020725,are indicated after,C1827424
C0035648,include,C1517194
C3203356,is characterized by,C0853225
C3203356,has homozygous forms occurring at a frequency of,C1881839
C3203356,features,C2228238
C3203356,features,C0232943
C3203356,features,C4022608
C3203356,features,C0746649
C3203356,features,C2116807
C3203356,features,C0018924
C3203356,features,C4021646
C3203356,may present with,C0151699
C0340974,has been associated with,C0333214
C0680830,typically involves,C3858946
C0680830,typically involves,C5560236
C0044609,are used to treat,C0019087
C0796149,is also known as,C3203356
C0796149,is a,C5679621
C0796149,is characterized by,C4024702
C0200396,is also referred to as,C2828369
C0796149,can present early in,C0376558
C0796149,has clinical signs including,C2228238
C0796149,has clinical signs including,C0232943
C0796149,has clinical signs including,C4022608
C0796149,has clinical signs including,C0746649
C0796149,has clinical signs including,C2116807
C0796149,has clinical signs including,C0018924
C0796149,has clinical signs including,C4021646
C0796149,is associated with,C0151699
C0796149,has thromboembolic complications in,C0340974
C5680058,is characterized by,C0558193
C5680058,is characterized by,C0037763
C5680058,is characterized by,C0349231
C5680058,is characterized by,C1835614
C5680058,is characterized by,C0003090
C5680058,presents with,C4023104
C5680058,can lead to,C1301899
C5680058,is often accompanied by,C0001818
C5680058,includes clinical variants such as,C0037231
C5680058,includes clinical variants such as,C0701028
C0037231,is a variant of,C5680058
C0701028,is a variant of,C5680058
C0085292,may have underlying,C0443146
C0085292,may exhibit comorbidities including,C0342335
C0085292,may exhibit comorbidities including,C0941160
C0085292,may exhibit comorbidities including,C1458155
C0085292,may exhibit comorbidities including,C0242379
C0085292,may exhibit comorbidities including,C0009375
C0701028,tends to be more challenging to control than,C1420262
C0701028,may be more challenging to manage than,C0037231
C1420262,affects,C0026845
C1420262,can lead to,C0410158
C1420262,can lead to,C0016658
C1420262,can induce,C0860515
C1420262,can induce,C0037763
C1420262,can induce,C1301836
C1420262,has clinical variants including,C0037231
C1420262,has clinical variants including,C0701028
C0085292,may exhibit comorbidities including,C0002892
C0680830,typically involves,C0373486
C0680830,typically involves,C2983925
C0701028,may portend,C0032854
C0699743,is characterized by,C1883073
C0699743,is characterized by,C4015098
C0699743,may cause,C0158775
C2033037,secretes,C1704757
C2033037,leads to,C0086768
C2033037,leads to,C4553966
C2033037,leads to,C3825065
C0011993,is also known as,C2033037
C2033037,has a slight predominance in,C0221033
C2033037,manifests as,C0849807
C2033037,manifests as,C0235063
C2033037,can lead to,C0162429
C0162429,include,C3826101
C2033037,can metastasize to,C0024109
C2033037,can metastasize to,C0024204
C2033037,can metastasize to,C0022646
C2033037,if untreated  can lead to,C0035078
C2033037,if untreated  can lead to,C1827424
C0724649,is effective in,C1171188
C0083256,may be employed for,C1290807
C0015252,is the standard treatment for,C0011993
C0047760,is used in,C3665477
C0499154,is used in,C3665477
C1863959,is characterized by,C2113870
C1863959,is accompanied by,C1391523
C0029087,is not a feature of,C1863959
C0038894,may be necessary to,C0372665
C0265840,is characterized by,C0040963
C2729489,is used to establish,C0439792
C0018823,may be required for,C1868938
C1305754,targets and destroys,C0038250
C0271907,is associated with,C3714514
C0271907,is associated with,C0013227
C0271907,is associated with,C0178621
C0449450,includes symptoms such as,C2586108
C0449450,includes symptoms such as,C2010848
C0449450,includes symptoms such as,C0857073
C4749430,can lead,C2984074
C3714933,affects,C0221786
C3714933,characterized by,C1149735
C3714933,affects,C1516874
C3714933,presents with,C1979962
C1979962,include,C3463815
C1979962,include,C0458254
C1979962,include,C0231528
C3714933,does not affect,C1284252
C0523882,provides,C3242309
C3714933,has,C3640840
C4736125,is a,C2186266
C4736125,is characterized by,C2265912
C4736125,presents with,C0851638
C4736125,can be caused by,C0011847
C4736125,can be caused by,C0028754
C4736125,can be caused by,C0001973
C4736125,can be caused by,C3714514
C4736125,can be caused by,C0040549
C4736125,can be caused by,C0003811
C4736125,can be caused by,C0032962
C0850664,include,C0155668
C0850664,include,C0027059
C0850664,include,C0026848
C4736125,can lead to,C0018801
C4736125,can lead to,C0340341
C4736125,can lead to,C1744601
C4736125,can lead to,C1720824
C0204169,includes,C0560219
C0204169,includes,C2242857
C0204169,includes,C0452348
C0204169,includes,C1979962
C0204169,includes,C0424566
C1512160,through,C0393006
C1512160,can benefit,C5680876
C0345086,is characterized by,C0003492
C0332463,causes,C0085580
C0332463,causes,C0020649
C0449450,includes,C0857121
C0449450,includes,C0023218
C0030705,may exhibit signs of,C0850760
C0850760,includes,C2586108
C0850760,includes,C5420012
C0345086,can precipitate,C4048610
C4048610,include,C0018801
C4048610,include,C0241868
C0680830,typically involves,C4763881
C0345086,is typically located just distal to,C0694658
C0345086,often presents with,C0857121
C0857121,affects,C0229963
C0345086,may include,C0023218
C0345086,impinges upon,C0005776
C0345086,impinges upon,C0429623
C0345086,disproportionately affects,C0086582
C0043240,aims to restore,C0232339
C0043240,results in,C1319160
C3551019,is a,C4275241
C3551019,is characterized by,C0008525
C3551019,leads to,C0028077
C3551019,causes,C0271214
C3551019,is marked by,C0028754
C3551019,is marked by,C0155552
C0028754,is diagnosed when,C0231254
C0028754,occurs when,C4552848
C0028754,can lead to,C0018417
C3897159,should discuss,C3825496
C3150703,includes,C2021189
C3150703,includes,C4250605
C3150703,includes,C0558851
C3150703,includes,C1303003
C3150703,has reported,C0456132
C3150703,has reported,C0265534
C3150703,has reported,C0399512
C0751337,is also known as,C2751807
C0751337,is characterized by,C0333645
C0751337,often accompanied by,C1391997
C0751337,presents in,C0231335
C0751337,affects,C1305378
C0751337,affects,C4751509
C0751337,affects,C0448514
C0751337,may lead to,C1636652
C0751337,may lead to,C0948008
C0410190,involves,C0029352
C0410190,includes,C3653768
C0410190,may include,C1521739
C2751807,includes,C0410264
C2751807,can lead to,C1636652
C2751807,can lead to,C0262469
C0406587,is characterized by,C1180284
C0406587,manifests with,C0406587
C0406587,shows overlap with,C5679922
C0406587,shows overlap with,C0432255
C0406587,shows overlap with,C5234852
C0000744,is also known as,C0694546
C0000744,characterized by,C3149462
C0000744,affects,C0027361
C0000744,leads to,C1848486
C0000744,increases risk of,C0038454
C0000744,involves management with,C0004933
C0202236,are elevated in,C0000744
C0519154,is elevated in,C0000744
C0202069,is decreased in,C0000744
C0030705,experience,C0233844
C0030705,experience,C3536730
C0233844,evolves into,C0427140
C0221054,is marked by,C1319046
C0026845,include,C0448475
C0026845,include,C1268260
C0015695,affects,C3536743
C0015695,affects,C3146295
C0015695,affects,C0584882
C0221054,involves,C0233844
C0221054,involves,C3536730
C0221054,affects,C4281657
C0221054,affects,C1444858
C0221054,affects,C0448447
C0221054,affects,C0448475
C0221054,affects,C1268260
C0221054,affects,C3536743
C0221054,affects,C3146295
C0221054,can be treated with,C0699718
C0221054,can be treated with,C2014646
C0221054,can be treated with,C0038894
C0221054,can be treated with,C0150270
C2751313,is a,C5681117
C2751313,has hallmark of,C4531089
C2751313,exhibit,C0398368
C2751313,exhibit,C0546952
C2751313,exhibit,C0332887
C1708511,has not been established for,C0205441
C2751313,can vary significantly between,C0027361
C2936694,is a,C0025322
C2936694,is characterized by,C0747102
C2936694,may be,C0015576
C0030705,may have,C0425957
C0227605,are,C5545422
C0007758,is part of,C5816798
C0680830,involves,C3541352
C0497489,is a significant issue in,C0680830
C0549206,may be feasible through,C0029975
C0263390,presents with,C3670857
C0263390,leads to,C1851463
C0263390,involves,C1371589
C0263390,is associated with,C1136085
C1136085,involves,C5708900
C0263390,can lead to complications such as,C0017178
C0263390,can lead to complications such as,C0748159
C0263390,can lead to complications such as,C0497254
C0263390,can lead to complications such as,C0449389
C0263390,has no established treatment for,C0263390
C0001554,may include,C3494178
C0001554,may include,C2065010
C0001554,may include,C3265467
C0001554,may include,C0001617
C0001554,may include,C0854630
C4275027,is a,C4302185
C4275027,is characterized by,C2237215
C4275027,is characterized by,C0026837
C4275027,is characterized by,C1843921
C4275027,affects,C0001792
C4275027,has been described in,C0206155
C4275027,is unresponsive to,C0746576
C4275027,is considered a,C5787864
C4275027,may be identical or closely related to,C4551863
C4275027,can lead to complications such as,C3686797
C4275027,can lead to complications such as,C0032285
C4275027,can lead to complications such as,C0745247
C4275027,can lead to complications such as,C0518421
C2216445,may help reduce the risk of,C0011265
C0556453,may help reduce the risk of,C0011265
C0748223,may help reduce the risk of,C0011265
C4735810,may help reduce the risk of,C0011265
C0333229,occurs within,C5768568
C0016823,reveals,C0344296
C0016823,reveals,C2063432
C4755300,relies on,C2828389
C2828389,requires,C0679830
C2828389,requires,C2015796
C0271583,is a,C5681569
C0271583,has normal secretion of,C4535742
C0271583,is associated with,C0342124
C0271583,presents with,C2586108
C0271583,presents with,C0233502
C0271583,presents with,C0520906
C0271583,presents with,C4552889
C0271583,presents with,C0020615
C3242770,reveals,C0740379
C0271583,distinguishes from,C2874196
C2985607,are familiar with,C0271583
C0342389,is a,C0014130
C0010192,stimulates,C1181303
C1181303,produces,C3540777
C3540777,include,C0020268
C0342389,results in,C0475721
C0342389,results in,C0268317
C0342389,results in,C0036572
C0342389,impairs,C0032022
C0079298,presents at,C2234358
C0079298,is caused by,C4727712
C1825762,encodes,C1825766
C0079298,causes,C0241181
C0079298,may include complications such as,C0439663
C0079298,may include complications such as,C0243026
C0079298,may include complications such as,C0007114
C0000545,is a,C0264935
C0000545,is characterized by,C3670875
C0000545,presents in,C0001675
C0043210,are twice as likely as,C3203102
C3203102,present with,C0018801
C0018801,is classified as,C1882086
C0345050,is characterized by,C1840073
C0345050,affects,C4316741
C1840475,is a manifestation of,C0345050
C0345050,can be diagnosed through,C2015796
C5229912,is a,C4544057
C5229912,has a predominance of,C0870830
C5229912,includes symptoms of,C0231238
C5229912,includes symptoms of,C5670732
C5229912,includes symptoms of,C0856619
C5229912,includes symptoms of,C0231710
C5229912,is associated with,C0036396
C5229912,is managed with,C0355303
C5229912,is managed with,C0003299
C5229912,is managed with,C2957505
C5229912,is managed with,C0344214
C5229912,is managed with,C0419203
C5229912,is managed with,C0033968
C5229912,may require,C5684804
C5229912,may consider,C5438569
C5229912,presents with,C0241050
C5229912,presents with,C0149804
C4304407,characterized by,C4552171
C4304407,presents with,C1457887
C1457887,includes,C0265559
C4304407,may include,C0495694
C4304407,may include,C5855447
C4304407,may include,C4024650
C4304407,may include,C0497552
C0497552,include,C0749079
C0497552,include,C0032639
C4304407,can lead to,C0009488
C4304407,can lead to complications such as,C0262402
C4304407,can lead to complications such as,C0029408
C4304407,can lead to complications such as,C0520679
C4304407,can lead to complications such as,C0840900
C4304407,can lead to complications such as,C4040945
C0679245,is crucial for,C3640049
C5190989,is characterized by,C0451819
C5190989,is characterized by,C0342335
C0030705,exhibit,C0021655
C0030705,exhibit,C5855447
C1822703,is a contributor to,C5190989
C5190989,is associated with,C0857121
C0680830,involves,C1883292
C0680830,involves,C5419730
C4302533,should be,C1881197
C2721741,characterized by,C1834536
C2721741,gradually spreads to,C1521805
C0393552,is a,C1865412
C2721741,can have impact on,C0332173
C2721741,requires,C0699718
C4518579,is a type of,C3899989
C4518579,is characterized by,C4317107
C4518579,may present with,C0272284
C4518579,is associated with,C3665349
C4518579,is associated with,C4302198
C4518579,suggests,C5553951
C3711376,results from,C0017261
C3711376,affects,C0007634
C3711376,presents early in life with,C0036572
C3711376,occurs sporadically without,C0456888
C3711376,is managed by,C0027901
C0036572,often present between,C1444738
C3711376,is associated with,C2700342
C1515577,is characterized by,C5679700
C1515577,is associated with,C0155131
C4302243,is characterized by,C3887644
C4302243,mimics,C2239176
C4302243,presents with,C0000737
C4302243,presents with,C0015967
C4302243,is frequently,C0424338
C4302243,has a predilection for,C1284454
C4302243,can have,C0577305
C1276139,is a subtype of,C4302243
C4302243,is characterized by,C1692321
C4302243,includes,C0039194
C4302243,includes,C0004561
C4302243,can resolve completely in,C0027361
C4302243,is an important consideration in,C0011906
C0340487,is a,C5681552
C0340487,is characterized by,C5848088
C0340487,is more common in,C0086582
C0680830,involves,C0042514
C0680830,may include,C0524010
C0680830,may include,C2355624
C0680830,may include,C0016229
C0340487,is prevalent in,C5205018
C5848088,ranges from,C1533091
C0030705,may experience symptoms such as,C0849793
C0524010,is often effective in,C0003195
C0741468,is used in combination with,C0524010
C0042523,is generally best avoided as it may,C0036974
C2355624,is a commonly used medication to,C0078888
C0016229,is often effective in,C0003195
C0337449,is generally best avoided due to,C0039236
C0042523,is generally best avoided due to,C0039236
C0204169,include maintaining,C3898900
C0542380,is often,C1167959
C0679716,include,C2064686
C0679716,include,C0150788
C5553104,primarily affects,C0584916
C5553104,includes,C0224460
C5553104,typically emerges between,C4725197
C5553104,has a median age of onset,C0521997
C5553104,initial manifestations involve,C1836767
C5553104,initial manifestations involve,C3831080
C5553104,may include,C0752355
C5553104,progresses to,C4024612
C5553104,may exhibit,C0232018
C5553104,is largely,C1521721
C5553104,includes,C1444341
C5553104,includes,C0699718
C5553104,includes,C0600080
C5553104,includes,C3653358
C5553104,affects,C4253837
C5553104,has symptoms onset between,C4725197
C5553104,may include,C0560416
C5553104,may include,C0558845
C5553104,progresses to,C1838246
C5553104,requires,C1521721
C1521721,focuses on,C1444341
C1521721,focuses on,C0699718
C1521721,focuses on,C0600080
C1521721,focuses on,C3653358
C1538487,is located on,C1520200
C1538487,is characterized by,C2931498
C1538487,is accompanied by,C0036572
C1538487,is associated with,C0431352
C1538487,is associated with,C1837249
C5567464,is a type of,C3887506
C5567464,presents with,C0439842
C0233574,may exhibit,C1416531
C0233574,may exhibit,C2062594
C0373437,is,C0949333
C4707653,is typically,C0728887
C5567464,includes,C0699718
C5567464,includes,C0812853
C5567464,includes,C0037831
C4518807,is a,C0596371
C4518807,affects,C0817683
C4518807,affects,C0738570
C1832276,leads to,C1262148
C0678939,affect,C1414637
C2982413,encodes,C0060383
C0060383,is a,C0060383
C1149252,is thought to contribute to,C0450254
C4518807,has been described in,C0015576
C4518807,has been described in,C0337810
C0221054,is also known as,C4518807
C0221054,affects,C0817683
C0221054,affects,C0738570
C0221054,leads to,C1832276
C0221054,involves,C1269903
C0221054,involves,C2984223
C0221054,is described in,C0015576
C0221054,is described in,C0337810
C0221054,affects,C0931554
C0221054,affects,C0230445
C0221054,results in,C1262148
C0221054,progresses to,C0586738
C0221054,involves,C2984223
C0221054,has been described in families from,C0004340
C0221054,has been described in families from,C0022277
C0221054,is considered by,C1709914
C4518807,is also known as,C4518807
C4518807,has been reported in,C0337810
C4518807,focuses on,C0240421
C5567463,is a,C5681226
C5567463,has hallmark feature,C0008489
C5567463,exhibits,C0205329
C0680830,includes,C0013227
C5567463,requires,C1659155
C4759774,is also known as,C1864706
C4759774,is a type of,C0221054
C4759774,is classified as,C1417542
C4759774,is characterized by,C1866141
C4759774,presents with age at onset varying from,C4725195
C4759774,presents with age at onset varying to,C0724000
C4759774,initially affects,C0581543
C4759774,progresses to affect,C5235530
C4759774,particularly affects,C0230393
C4759774,particularly affects,C0230398
C4759774,features,C1843637
C4759774,is accompanied by,C1834042
C4759774,specifically involves,C1304947
C4759774,specifically involves,C0224147
C4759774,involves,C0344214
C4759774,involves,C2014587
C0002726,is a type of,C1959632
C0002726,is characterized by,C3544412
C0002726,can manifest as,C5679901
C0002726,affects,C0027765
C0002726,can lead to,C5669240
C0850664,include,C0162574
C0850664,include,C0080146
C0850664,include,C0456888
C0850664,include,C0849861
C0850664,include,C3641126
C1265879,can be,C1517874
C3715197,is caused by,C0161516
C3715197,results from,C0040125
C3715197,is characterized by,C5680930
C3715197,presents with,C0349476
C3715197,presents with,C0019825
C3715197,presents with,C1859236
C1413366,levels usually normalize within,C4082109
C3715197,requires,C0150369
C4476799,is characterized by,C2126235
C0037284,are located on,C0027530
C0037284,are located on,C1698115
C0037284,are located on,C1268199
C0037284,enlarge with,C0040223
C0037284,are observed at,C2234358
C0037284,develop into,C1292462
C0260880,reveals,C0334092
C0334092,contains,C0554472
C0554472,are surrounded by,C4512227
C4512227,is densely distributed within,C1522064
C4476799,can lead to,C2029374
C1847522,is a,C5680552
C1847522,is characterized by,C2243051
C1847522,is characterized by,C0028754
C0030705,present with,C2022276
C1847522,is diagnosed in,C0231335
C0393639,is characterized by,C0235820
C0393639,presents as,C0338656
C0393639,can lead to,C0311335
C0393639,can lead to,C0682105
C0393639,is marked by,C0443882
C0393639,exhibits,C0339572
C0393639,can have,C0009488
C0393639,can have,C0026565
C0393639,is considered an,C0242299
C0393639,is of interest to,C2985449
C0393639,is of interest to,C0871685
C0393639,is associated with,C0036572
C0393639,is associated with,C1527347
C0393639,is associated with,C0278161
C3280443,primarily affects,C0581668
C1864715,is a type of,C1268101
C4516954,is a type of,C1268101
C3280443,leads to,C0556281
C3280443,may exhibit,C1413146
C1413146,is measured in,C0587033
C3280443,may present with,C1839666
C3280443,may present with,C2239098
C3280443,may present with,C0242287
C3280443,requires,C0205555
C0205555,is provided by,C3858774
C1846033,is characterized by,C2021230
C1846033,is caused by,C4528702
C1846033,presents as,C1846034
C1846034,develops on,C0447647
C0449450,can include,C0578454
C0449450,can include,C0239134
C0449450,can include,C2046452
C0578751,is often,C0949333
C1846033,may be associated with,C4302198
C1846033,may be associated with,C3665349
C0850664,include,C0342927
C0850664,include,C0455458
C0850664,include,C0549206
C0850664,include,C0455962
C0850664,include,C0455620
C0680830,involves,C0419886
C0680830,involves,C2922727
C1846033,is a,C5681800
C3280492,includes,C1266144
C3280492,includes,C0279612
C1846033,presents with,C1846034
C1846033,may be associated with,C0849971
C1846033,may be associated with,C0239134
C1846033,may be associated with,C2046452
C0680830,involves,C2937351
C0680830,may include,C0203610
C0018021,may produce,C0853283
C0449450,can include,C0849971
C1846034,is often associated with,C1280464
C0850664,include,C0043210
C0850664,include,C0001795
C0850664,include,C3532487
C0680830,may include,C5192792
C4551506,is a type of,C5681054
C0270871,is a type of,C5681054
C4551506,is characterized by,C2037217
C4551506,affects,C0027530
C4551506,affects,C0015450
C0030705,typically present with symptoms during,C0231335
C1847627,is,C5681054
C0228248,is characterized by,C2037217
C0228248,affects,C0027530
C0228248,affects,C0015450
C0228248,presents in,C0231335
C0270871,is a feature of,C0228248
C0228248,is managed by,C0699718
C2931686,can be exacerbated by,C0011847
C2931686,can be exacerbated by,C0042680
C2931686,can be exacerbated by,C1527223
C2931686,leads to,C0020580
C1847352,is caused by mutations in,C0766915
C4517296,is characterized by,C2931258
C4517296,is characterized by,C0677501
C4517296,may include,C3806604
C4517296,is diagnosed through,C2015796
C0917711,is used in,C2015796
C0373538,levels are,C2825579
C4517296,requires,C0699718
C4517296,requires,C0812853
C4517296,presents with,C2931258
C4517296,results in,C4021745
C4517296,results in,C1167884
C0677501,includes,C0393761
C0677501,includes,C0424438
C0035372,is characterized by,C2748910
C0035372,affects,C0001588
C0035372,presents with,C1299393
C0035372,has subvariants including,C4023510
C0035372,has subvariants including,C0242354
C0035372,has subvariants including,C1719912
C0035372,has subvariants including,C0815205
C0035372,has subvariants including,C0581878
C0035372,is caused by,C2187550
C2697959,affects,C1818454
C0035372,has no specific cure,C0205238
C0035372,treatment is,C0344211
C0035372,includes signs and symptoms such as,C0150079
C0035372,manages,C2585388
C0035372,manages,C0277821
C0035372,includes signs and symptoms such as,C0036572
C0035372,includes signs and symptoms such as,C3873465
C0035372,includes signs and symptoms such as,C0013384
C0035372,includes signs and symptoms such as,C0476479
C0035372,includes signs and symptoms such as,C0009241
C0035372,includes signs and symptoms such as,C0036439
C0035372,includes signs and symptoms such as,C0003811
C0035372,may lead to complications such as,C0700201
C0035372,may lead to complications such as,C3641775
C0035372,may lead to complications such as,C2186526
C0035372,may lead to complications such as,C0391976
C0035372,may lead to complications such as,C0575078
C0035372,may lead to complications such as,C0575044
C0035372,may lead to complications such as,C0003469
C0035372,may lead to complications such as,C1504437
C2931381,includes,C0036572
C2931381,is characterized by,C0033860
C2931381,affects,C0086582
C2931381,affects more frequently,C0221033
C0036572,are a hallmark feature of,C2931381
C0033860,presents with,C0037284
C0680830,includes,C1319804
C0680830,includes,C3258078
C0680830,includes,C0007237
C2931381,is characterized by,C0748577
C2931381,has been described in,C0337582
C0680830,involves,C4751287
C0680830,involves,C3258078
C0680830,involves,C5229350
C0680830,involves,C3258078
C0220991,is characterized by,C0220991
C0220991,may be accompanied by,C0000737
C0220991,may be accompanied by,C5447385
C0237987,is associated with,C0220991
C0878521,is associated with,C0220991
C0220991,remains,C0577553
C5191415,presents with,C0020256
C5191415,presents with,C0036572
C5191415,is distinguished from,C0265219
C0268390,is a,C0037274
C0268390,is characterized by,C0742020
C0268390,is accompanied by,C0333930
C0268390,involves,C0233426
C0221198,are filled with,C0302908
C0221198,are,C0234233
C0221198,resolve,C0008767
C2930978,is,C0553604
C2930978,characterized by,C5680307
C2930978,accompanied by,C3805639
C2930978,impairs,C0085673
C2930978,last reported cases in,C0456590
C0030705,may experience,C1847651
C0030705,may experience,C0029401
C0587033,reveals,C1853932
C1853723,typically presents in,C0683973
C1853723,results in,C2894502
C1853723,does not involve,C4252665
C1853723,may cause,C1847651
C1853723,may cause,C0030186
C1853723,requires,C0205555
C0221054,is characterized by,C1838246
C0221054,typically presents in,C0683973
C0221054,results in,C2894502
C0221054,does not involve,C4252665
C0221054,presents with,C1847651
C0221054,may exhibit,C0029401
C0221054,is distinct from,C4702817
C0150270,aim at,C1274136
C1335499,is typically,C0443347
C0221054,is caused by,C5670592
C5670592,involves,C1540173
C0221054,is characterized by,C4025565
C0221054,does not exhibit,C0750403
C0587033,reveals,C0026848
C5567521,is a,C3899989
C5567521,is characterized by,C0333645
C5567521,manifests in,C0231335
C5567521,affects,C0206655
C5567521,affects,C0230331
C0587033,reveals,C1843700
C0587033,reveals,C1836057
C0587033,reveals,C1396643
C1414386,is located on,C0043292
C1414612,is located on,C0043292
C4706412,is characterized by,C0393519
C4706412,associates with,C0234132
C4706412,includes,C2237409
C0030705,present with,C0007758
C0030705,develop,C1273957
C4706412,may be associated with,C2239098
C4706412,may be associated with,C0036439
C4706412,may be associated with,C0241816
C0680830,involves,C1274136
C5191335,exhibits,C0086789
C5191335,occurs within,C4086725
C1516907,adult idiopathic neutropenia,C0522498
C5191335,focuses on,C0150290
C0926618,leads to,C0850761
C0850761,results in,C0312435
C4025823,include,C0342359
C4025823,include,C3714796
C4275064,is a,C0014130
C4275064,results in,C0948740
C4275064,presents with,C3665358
C4275064,presents with,C0028754
C4275064,is associated with,C0342359
C4275064,can lead to,C0020676
C4275064,can lead to,C0262586
C0917711,is useful for,C2041510
C0917711,is useful for,C0885679
C0680830,involves,C0279033
C5681560,is characterized by,C0577250
C5681560,has a stretched penile length of,C1299387
C0030705,experience,C0003469
C0030705,experience,C0815107
C0030705,experience,C0748071
C5681560,involves,C0260314
C5681560,involves,C0871386
C5681560,involves,C5707448
C5420240,include,C0871652
C5420240,include,C1546923
C4751505,is characterized by,C0011265
C4751505,is characterized by,C0947810
C4751505,impairs,C0868981
C4751505,impairs,C5551447
C4751505,can lead to,C0682105
C4751505,increases risk of,C0032285
C5681441,is a type of,C4302671
C4302671,affects,C0346627
C4302671,is marked by,C0029793
C3665349,is a type of,C0014130
C4302671,exhibits,C5447320
C4302671,is associated with,C0439706
C4302671,is associated with,C1399464
C4302671,is associated with,C0262586
C4302671,is associated with,C0262586
C0871157,is important for,C4302671
C5819268,is also known as,C5206106
C5206106,is a,C0860204
C5206106,is more prevalent in,C0008107
C5206106,is more prevalent in,C1277449
C5206106,increases the risk of,C2909141
C5206106,increases the risk of,C0157112
C5206106,is associated with,C5542604
C5206106,is associated with,C0033774
C5206106,occurs in,C0682369
C5206106,occurs in,C1705493
C5206106,occurs in,C0028405
C5206106,may involve,C0678941
C5206106,may involve,C0682762
C5206106,may involve,C0456888
C5819268,is also known as,C1859162
C5819268,affects,C0232997
C5819268,affects,C0032961
C5819268,is marked by,C0151526
C5819268,is managed by,C0354049
C0178882,is administered at a dose of,C0439422
C5819268,is diagnosed based on,C0587082
C5819268,can lead to complications in,C0026591
C4760764,is,C5680758
C4760764,is characterized by,C2230322
C4760764,is characterized by,C0333076
C4760764,is characterized by,C0002949
C4760764,is associated with,C0029408
C0029408,primarily affects,C0931554
C0029408,affects primarily,C0043262
C0029408,primarily affects,C2951452
C4760764,frequently observes,C0265509
C4760764,may exhibit,C0037268
C4760764,is associated with,C0240083
C0240083,include,C3665488
C0240083,include,C0158266
C4760764,includes,C3665496
C3665496,include,C0026265
C3665496,include,C0018798
C3665496,include,C0149721
C3665496,include,C0344434
C0029408,manifests as,C0391976
C0029408,manifests as,C0427008
C0029408,manifests as,C0234242
C0029408,manifests as,C0042571
C0029408,manifests as,C1442903
C0029408,manifests as,C0013604
C0850664,include,C0409497
C0850664,include,C0410712
C0850664,include,C5680169
C4760764,may include,C0026265
C4760764,may include,C0018798
C4760764,may include,C0149721
C4760764,may include,C0344434
C0030705,typically present with,C0741237
C0741237,include,C0391976
C0741237,include,C0427008
C0741237,include,C0013604
C0741237,include,C3829770
C4760764,may be contributed to by,C5553951
C4760764,may be contributed to by,C0456888
C4760764,may be contributed to by,C0162574
C4760764,may be contributed to by,C0080146
C4760764,may be contributed to by,C0851405
